ID_Item;ID_Venda_CSV;ID_Produto_CSV;Qtd;Valor;DIAGNOSTICO
2213;1454;5927;1;390,00;Venda Pai Nao Existe no Banco
2214;1456;1533;1;80,00;Venda Pai Nao Existe no Banco
2215;1456;1370;1;100,00;Venda Pai Nao Existe no Banco
2216;1457;1534;1;160,00;Venda Pai Nao Existe no Banco
2217;1457;6356;1;390,00;Venda Pai Nao Existe no Banco
2218;1458;1526;1;98,00;Venda Pai Nao Existe no Banco
2219;1459;1533;1;90,00;Venda Pai Nao Existe no Banco
2220;1460;1534;1;160,00;Venda Pai Nao Existe no Banco
2221;1460;7430;1;470,00;Venda Pai Nao Existe no Banco
2222;1460;1533;1;100,00;Venda Pai Nao Existe no Banco
2223;1461;1542;1;260,00;Venda Pai Nao Existe no Banco
2224;1461;2287;1;110,00;Venda Pai Nao Existe no Banco
2225;1460;1534;1;320,00;Venda Pai Nao Existe no Banco
2226;1462;1534;1;145,00;Venda Pai Nao Existe no Banco
2227;1464;5609;1;390,00;Venda Pai Nao Existe no Banco
2228;1465;1533;1;90,00;Venda Pai Nao Existe no Banco
2229;1465;1370;1;100,00;Venda Pai Nao Existe no Banco
2230;1466;1542;1;250,00;Venda Pai Nao Existe no Banco
2231;1466;7443;1;300,00;Venda Pai Nao Existe no Banco
2233;1468;7529;1;190,00;Venda Pai Nao Existe no Banco
2234;1468;1721;1;550,00;Venda Pai Nao Existe no Banco
2235;1469;1534;1;160,00;Venda Pai Nao Existe no Banco
2236;1470;1760;1;415,00;Venda Pai Nao Existe no Banco
2237;1470;7549;1;190,00;Venda Pai Nao Existe no Banco
2238;1472;2287;1;60,00;Venda Pai Nao Existe no Banco
2239;1473;1533;1;90,00;Venda Pai Nao Existe no Banco
2240;1473;5451;1;20,00;Venda Pai Nao Existe no Banco
2241;1474;3447;1;150,00;Venda Pai Nao Existe no Banco
2242;1475;7086;1;100,00;Venda Pai Nao Existe no Banco
2243;1476;4089;1;100,00;Venda Pai Nao Existe no Banco
2244;1477;1534;1;160,00;Venda Pai Nao Existe no Banco
2245;1477;7541;1;190,00;Venda Pai Nao Existe no Banco
2248;1478;1320;1;90,00;Venda Pai Nao Existe no Banco
2249;1479;1533;1;110,00;Venda Pai Nao Existe no Banco
2250;1480;1534;1;160,00;Venda Pai Nao Existe no Banco
2251;1480;7491;1;390,00;Venda Pai Nao Existe no Banco
2253;1481;1534;0,5;80,00;Venda Pai Nao Existe no Banco
2254;1481;6702;1;700,00;Venda Pai Nao Existe no Banco
2255;1482;1534;1;160,00;Venda Pai Nao Existe no Banco
2256;1482;6798;1;620,00;Venda Pai Nao Existe no Banco
2257;1483;6347;1;155,00;Venda Pai Nao Existe no Banco
2258;1484;5734;1;420,00;Venda Pai Nao Existe no Banco
2259;1484;7554;1;540,00;Venda Pai Nao Existe no Banco
2261;1486;4680;1;190,00;Venda Pai Nao Existe no Banco
2262;1486;7377;1;480,00;Venda Pai Nao Existe no Banco
2263;1488;1542;1;260,00;Venda Pai Nao Existe no Banco
2264;1488;7535;1;220,00;Venda Pai Nao Existe no Banco
2265;1489;1560;0,5;250,00;Venda Pai Nao Existe no Banco
2266;1489;1672;0,5;170,00;Venda Pai Nao Existe no Banco
2267;1490;4062;1;100,00;Venda Pai Nao Existe no Banco
2268;1492;1534;1;160,00;Venda Pai Nao Existe no Banco
2269;1492;7541;1;210,00;Venda Pai Nao Existe no Banco
2270;1493;1534;1;160,00;Venda Pai Nao Existe no Banco
2271;1493;7512;1;390,00;Venda Pai Nao Existe no Banco
2273;1496;1534;1;190,00;Venda Pai Nao Existe no Banco
2274;1497;1542;0,5;115,00;Venda Pai Nao Existe no Banco
2275;1494;4953;1;470,00;Venda Pai Nao Existe no Banco
2276;1498;1533;1;90,00;Venda Pai Nao Existe no Banco
2280;1501;4680;1;200,00;Venda Pai Nao Existe no Banco
2281;1501;7530;1;170,00;Venda Pai Nao Existe no Banco
2282;1502;1534;1;160,00;Venda Pai Nao Existe no Banco
2283;1502;7422;1;410,00;Venda Pai Nao Existe no Banco
2284;1503;1533;1;90,00;Venda Pai Nao Existe no Banco
2285;1503;1370;1;100,00;Venda Pai Nao Existe no Banco
