Código;Lk_venda;Lk_produto;Qtd;Valor vendido;Custo;Valor normal
13884;9280;1542;1;290,00;0,00;
13887;9280;8707;1;1.050,00;0,00;
13888;9281;1529;1;160,00;0,00;
13889;9281;5133;1;160,00;0,00;
13890;9282;7953;1;220,00;0,00;
13891;9282;7821;1;230,00;0,00;
13892;9282;7821;1;270,00;0,00;
13893;9282;8707;1;1.050,00;0,00;
13894;9282;8552;1;180,00;0,00;
13895;9282;8273;1;650,00;0,00;
13896;9283;2403;1;190,00;0,00;
13897;9283;7821;1;230,00;0,00;
13898;9284;7953;1;250,00;0,00;
13899;9284;8552;1;190,00;0,00;
13900;9285;979;1;380,00;0,00;
13901;9286;8707;1;1.050,00;0,00;
13902;9286;8552;1;190,00;0,00;
13903;9287;1534;1;140,00;0,00;
13904;9288;1534;1;160,00;0,00;
13905;9288;8552;1;120,00;0,00;
13906;9289;1542;1;350,00;0,00;
13907;9289;8355;1;350,00;0,00;
13908;9290;8707;1;1.100,00;0,00;
13910;9290;8897;1;980,00;0,00;
13911;9291;1534;0,5;60,00;0,00;
13912;9292;8552;1;190,00;0,00;
13913;9293;8185;1;610,00;0,00;
13914;9293;7821;1;260,00;0,00;
13915;9294;1542;1;450,00;0,00;
13916;9294;8355;1;390,00;0,00;
13917;9295;7953;1;250,00;0,00;
13918;9296;1760;1;675,00;0,00;
13919;9297;8552;1;170,00;0,00;
13920;9298;6184;1;50,00;0,00;
13921;9299;8552;1;160,00;0,00;
13922;9300;7953;1;250,00;0,00;
13923;9300;7821;1;280,00;0,00;
13924;9301;1542;1;290,00;0,00;
13925;9304;1534;1;160,00;0,00;
13926;9306;1554;1;340,00;0,00;
13927;9306;8355;1;340,00;0,00;
13928;9308;1554;1;350,00;0,00;
13929;9308;7821;1;280,00;0,00;
13930;9309;1534;1;160,00;0,00;
13931;9309;5787;1;475,00;0,00;
13932;9309;1534;1;160,00;0,00;
13933;9309;7987;1;450,00;0,00;
13934;9310;8696;1;800,00;0,00;
13935;9311;4581;1;190,00;0,00;
13936;9309;1534;1;160,00;0,00;
13938;9309;8898;1;717,00;0,00;
13940;9312;8185;1;720,00;0,00;
13941;9312;8355;1;340,00;0,00;
13942;9312;1534;1;140,00;0,00;
13943;9313;8552;1;120,00;0,00;
13944;9314;1534;1;160,00;0,00;
13945;9314;1534;1;160,00;0,00;
13946;9314;8552;1;190,00;0,00;
13947;9315;8552;1;120,00;0,00;
13948;9316;1534;1;160,00;0,00;
13949;9317;1534;1;140,00;0,00;
13950;9317;7821;1;240,00;0,00;
13951;9318;7821;1;190,00;0,00;
13952;9319;8102;0,5;300,00;0,00;
13953;9319;1534;0,5;80,00;0,00;
13954;9319;8355;1;450,00;0,00;
13955;9320;7628;1;210,00;0,00;
13957;9321;8899;1;998,00;0,00;
13958;9322;1542;1;290,00;0,00;
13959;9322;7821;1;210,00;0,00;
13960;9324;1534;1;160,00;0,00;
13961;9326;8552;1;100,00;0,00;
13962;9327;1534;1;160,00;0,00;
13963;9328;1534;1;160,00;0,00;
13964;9328;1534;1;160,00;0,00;
13965;9328;8552;1;100,00;0,00;
13966;9328;7628;1;280,00;0,00;
13967;9329;1542;1;350,00;0,00;
13968;9329;7821;1;280,00;0,00;
13970;9330;8573;1;250,00;0,00;
13971;9331;1534;1;160,00;0,00;
13972;9331;6292;1;100,00;0,00;
13973;9332;1542;1;290,00;0,00;
13974;9332;6292;1;100,00;0,00;
13976;9333;8813;1;1.190,00;0,00;
13977;9333;8908;1;1.469,00;0,00;
13978;9334;1534;1;160,00;0,00;
13979;9334;1542;1;350,00;0,00;
13981;9321;8909;1;730,00;0,00;
13982;9335;1534;1;160,00;0,00;
13983;9336;1534;2;580,00;0,00;
13984;9333;0;1;1,00;0,00;
13985;9337;7405;1;260,00;0,00;
13986;9338;1542;1;350,00;0,00;
13987;9338;7821;1;280,00;0,00;
13989;9339;7821;1;290,00;0,00;
13990;9339;1760;1;690,00;0,00;
13991;9340;1534;1;140,00;0,00;
13992;9340;8552;1;160,00;0,00;
13994;9341;8712;1;3.976,00;0,00;
13996;9341;8812;1;1.090,00;0,00;
13997;9342;7953;1;250,00;0,00;
13998;9343;7821;1;230,00;0,00;
13999;9344;1534;1;160,00;0,00;
14000;9345;1542;1;290,00;0,00;
14001;9345;8552;1;100,00;0,00;
14002;9348;1760;1;590,00;0,00;
14003;9349;7953;1;250,00;0,00;
14005;9349;8911;1;690,00;0,00;
14006;9350;7953;1;250,00;0,00;
14007;9350;7821;1;260,00;0,00;
14008;9351;8552;1;90,00;0,00;
14009;9353;6178;1;675,00;0,00;
14010;9355;1534;1;110,00;0,00;
14011;9356;1542;1;350,00;0,00;
14012;9356;7821;1;290,00;0,00;
14013;9357;1542;1;350,00;0,00;
14014;9357;8552;1;190,00;0,00;
14015;9357;8552;1;190,00;0,00;
14016;9358;7953;1;250,00;0,00;
14017;9358;7821;1;260,00;0,00;
14018;9359;1534;1;160,00;0,00;
14019;9359;7821;1;330,00;0,00;
14020;9359;7821;1;290,00;0,00;
14021;9359;1760;1;690,00;0,00;
14022;9360;1721;1;790,00;0,00;
14023;9361;1554;1;350,00;0,00;
14024;9361;1372;1;280,00;0,00;
14025;9362;7953;1;250,00;0,00;
14026;9362;7821;1;220,00;0,00;
14027;9364;7953;1;250,00;0,00;
14028;9364;8355;1;450,00;0,00;
14029;9366;1534;0,5;80,00;0,00;
14030;9368;1760;1;420,00;0,00;
14031;9368;8355;1;330,00;0,00;
14032;9369;1534;1;140,00;0,00;
14033;9369;8552;1;100,00;0,00;
14034;9371;1542;1;260,00;0,00;
14035;9371;7821;1;240,00;0,00;
14036;9372;7972;1;250,00;0,00;
14037;9373;8908;1;1.469,00;0,00;
14038;9374;1552;1;350,00;0,00;
14039;9375;1534;1;140,00;0,00;
14040;9376;1542;1;350,00;0,00;
14041;9376;7821;1;260,00;0,00;
14042;9378;1401;1;90,00;0,00;
14043;9381;1752;1;450,00;0,00;
14044;9381;8355;1;390,00;0,00;
14045;9383;1534;1;160,00;0,00;
14046;9386;1760;1;690,00;0,00;
