Código;Lk_Vendas;Data_Venc;Valor_Parcela;Data_Pgto;Valor_Pago;Número_parcela1;Número_parcela2;cartão;che pré;dinheiro;Requisição;multa;juros;comissão;recibo
22986;6901;08/04/2022;108,00;11/04/2022;108,00;5;5;0,00;0,00;108,00;0,00;0,00;0,00;0,00;FALSO
22987;6895;10/12/2021;236,00;07/12/2021;236,00;1;5;0,00;0,00;236,00;0,00;0,00;0,00;0,00;FALSO
22988;6895;10/01/2022;236,00;29/01/2022;236,00;2;5;0,00;0,00;236,00;0,00;0,00;0,00;0,00;FALSO
22989;6895;10/02/2022;236,00;21/02/2022;236,00;3;5;0,00;0,00;236,00;0,00;0,00;0,00;0,00;FALSO
22990;6895;10/03/2022;236,00;29/03/2022;236,00;4;5;236,00;0,00;0,00;0,00;0,00;0,00;0,00;FALSO
22991;6895;10/04/2022;236,00;14/04/2022;236,00;5;5;0,00;0,00;236,00;0,00;0,00;0,00;0,00;FALSO
22992;6846;28/12/2021;110,00;;0,00;1;4;0,00;0,00;0,00;0,00;0,00;0,00;0,00;FALSO
22993;6846;28/01/2022;110,00;;0,00;2;4;0,00;0,00;0,00;0,00;0,00;0,00;0,00;FALSO
22994;6846;28/02/2022;110,00;;0,00;3;4;0,00;0,00;0,00;0,00;0,00;0,00;0,00;FALSO
22995;6846;28/03/2022;110,00;;0,00;4;4;0,00;0,00;0,00;0,00;0,00;0,00;0,00;FALSO
22996;6913;20/12/2021;170,00;20/12/2021;170,00;1;6;0,00;0,00;170,00;0,00;0,00;0,00;0,00;FALSO
22997;6913;20/01/2022;170,00;26/01/2022;170,00;2;6;0,00;0,00;170,00;0,00;0,00;0,00;0,00;FALSO
22998;6913;20/02/2022;170,00;02/03/2022;170,00;3;6;0,00;0,00;170,00;0,00;0,00;0,00;0,00;FALSO
